Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2025,34,25-64 yr,0,0,6,29,2,1,0,0,0
2025,35,25-64 yr,0,0,3,16,0,0,0,1,0
2025,36,25-64 yr,0,0,8,15,2,1,0,1,0
2025,37,25-64 yr,0,0,8,13,1,1,0,0,0
2025,38,25-64 yr,0,0,8,16,1,0,0,1,0
2025,39,25-64 yr,0,0,7,15,4,0,0,2,0
2024,40,65+ yr,0,0,11,26,3,0,0,0,0
2024,41,65+ yr,0,0,12,18,0,2,0,0,0
2024,42,65+ yr,0,0,20,16,2,0,0,0,0
2024,43,65+ yr,0,0,17,31,3,1,0,1,0
2024,44,65+ yr,0,0,18,21,6,0,0,0,0
2024,45,65+ yr,0,0,40,23,10,0,0,0,0
2024,46,65+ yr,0,0,42,25,9,0,0,0,0
2024,47,65+ yr,0,0,64,37,9,1,0,0,0
2024,48,65+ yr,0,0,81,51,1,1,0,0,0
2024,49,65+ yr,0,0,122,111,11,0,0,0,0
2024,50,65+ yr,0,0,238,163,24,1,0,0,0
2024,51,65+ yr,0,0,382,297,54,1,0,1,0
2024,52,65+ yr,0,0,652,551,128,1,0,1,0
2025,1,65+ yr,0,0,781,660,250,2,0,1,0
2025,2,65+ yr,0,0,575,527,156,1,0,1,0
2025,3,65+ yr,0,0,468,583,202,2,0,1,0
2025,4,65+ yr,0,0,720,895,221,4,0,6,0
2025,5,65+ yr,0,0,981,1317,428,0,0,1,0
2025,6,65+ yr,0,0,958,1458,438,2,0,3,0
2025,7,65+ yr,0,0,770,1354,244,6,0,8,0
2025,8,65+ yr,0,0,541,1183,166,3,0,1,0
2025,9,65+ yr,0,0,509,920,158,6,0,5,0
2025,10,65+ yr,0,0,304,748,149,8,0,1,0
2025,11,65+ yr,0,0,206,598,164,3,0,4,0
2025,12,65+ yr,0,0,168,473,114,9,0,7,0
2025,13,65+ yr,0,0,87,316,50,6,0,3,0
2025,14,65+ yr,0,0,65,222,20,3,0,8,0
2025,15,65+ yr,0,0,47,140,12,4,0,2,0
2025,16,65+ yr,0,0,35,112,11,7,0,2,0
2025,17,65+ yr,0,0,17,92,9,6,0,3,0
2025,18,65+ yr,0,0,9,47,4,7,0,10,0
2025,19,65+ yr,0,0,2,40,2,5,0,4,0
2025,20,65+ yr,0,0,5,44,3,3,0,3,0
2025,21,65+ yr,0,0,3,25,4,3,0,0,0
2025,22,65+ yr,0,0,3,39,6,2,0,5,0
2025,23,65+ yr,0,0,5,39,6,1,0,1,0
2025,24,65+ yr,0,0,4,34,3,4,0,0,0
2025,25,65+ yr,0,0,3,28,2,1,0,1,0
2025,26,65+ yr,0,0,1,29,0,0,0,1,0
2025,27,65+ yr,0,0,2,25,1,1,0,0,0
2025,28,65+ yr,0,0,2,21,0,1,0,0,0
2025,29,65+ yr,0,0,1,23,0,0,0,0,0
2025,30,65+ yr,0,0,3,15,1,0,0,0,0
2025,31,65+ yr,0,0,2,18,0,0,0,1,0
2025,32,65+ yr,0,0,3,9,1,0,0,0,0
2025,33,65+ yr,0,0,3,10,1,0,0,0,0
2025,34,65+ yr,0,0,3,19,1,0,0,0,0
2025,35,65+ yr,0,0,4,15,0,0,0,0,0
2025,36,65+ yr,0,0,5,20,0,0,0,0,0
2025,37,65+ yr,0,0,5,15,1,0,0,0,0
2025,38,65+ yr,0,0,4,20,2,0,0,0,0
2025,39,65+ yr,0,0,4,18,1,0,0,0,0
2023,40,0-4 yr,0,0,2,13,0,4,0,0,0
2023,41,0-4 yr,0,0,3,18,0,8,0,2,0
2023,42,0-4 yr,0,0,0,24,1,12,0,1,0
2023,43,0-4 yr,0,0,4,16,1,3,0,2,0
2023,44,0-4 yr,0,0,1,29,6,13,0,0,0
2023,45,0-4 yr,0,0,2,59,12,14,0,4,0
2023,46,0-4 yr,0,0,6,44,9,14,0,7,0
2023,47,0-4 yr,0,0,6,53,7,15,0,3,0
2023,48,0-4 yr,0,0,15,57,11,23,0,2,0
2023,49,0-4 yr,0,0,20,76,28,24,0,4,0
2023,50,0-4 yr,0,0,16,86,34,44,0,5,0
2023,51,0-4 yr,0,0,28,85,23,33,0,2,0
2023,52,0-4 yr,0,0,28,138,24,39,0,3,0
2024,1,0-4 yr,0,0,19,102,13,41,0,7,0
2024,2,0-4 yr,0,0,25,90,18,42,0,7,0
2024,3,0-4 yr,0,0,19,74,5,32,0,5,0
2024,4,0-4 yr,0,0,19,73,11,39,0,4,0
2024,5,0-4 yr,0,0,23,59,9,48,0,1,0
2024,6,0-4 yr,0,0,28,58,10,41,0,2,0
2024,7,0-4 yr,0,0,39,50,11,57,0,4,0
2024,8,0-4 yr,0,0,32,49,4,47,0,4,0
2024,9,0-4 yr,0,0,28,40,8,55,0,1,0
2024,10,0-4 yr,0,0,30,26,10,66,0,2,0
2024,11,0-4 yr,0,0,23,25,4,46,0,2,0
2024,12,0-4 yr,0,0,36,25,4,35,0,5,0
2024,13,0-4 yr,0,0,24,15,4,28,0,2,0
2024,14,0-4 yr,0,0,31,16,2,29,0,3,0
2024,15,0-4 yr,0,0,25,13,3,33,0,0,0
2024,16,0-4 yr,0,0,22,13,0,24,0,2,0
2024,17,0-4 yr,0,0,14,10,3,10,0,1,0
2024,18,0-4 yr,0,0,15,8,3,8,0,0,0
2024,19,0-4 yr,0,0,13,7,0,4,0,2,0
2024,20,0-4 yr,0,0,9,6,0,3,0,0,0
2024,21,0-4 yr,0,0,12,3,0,3,0,0,0
2024,22,0-4 yr,0,0,7,7,1,5,0,0,0
2024,23,0-4 yr,0,0,12,5,0,5,0,1,0
2024,24,0-4 yr,0,0,7,4,0,2,0,0,0
2024,25,0-4 yr,0,0,9,2,0,2,0,1,0
2024,26,0-4 yr,0,0,9,8,0,2,0,0,0
2024,27,0-4 yr,0,0,10,2,1,1,0,0,0
2024,28,0-4 yr,0,0,10,6,2,0,0,0,1
2024,29,0-4 yr,0,0,4,6,1,0,0,0,0
2024,30,0-4 yr,0,0,7,3,1,0,0,0,0
2024,31,0-4 yr,0,0,12,4,0,0,0,0,0
2024,32,0-4 yr,0,0,11,10,0,1,0,0,0
2024,33,0-4 yr,0,0,4,9,0,0,0,0,0
2024,34,0-4 yr,0,0,11,6,1,0,0,0,0
2024,35,0-4 yr,0,0,15,4,0,0,0,0,0
2024,36,0-4 yr,0,0,5,6,0,0,0,0,1
2024,37,0-4 yr,0,0,7,10,0,1,0,0,0
2024,38,0-4 yr,0,0,12,5,2,1,0,0,0
2024,39,0-4 yr,0,0,8,13,1,2,0,0,0
2023,40,5-24 yr,0,0,4,67,3,25,0,1,0
2023,41,5-24 yr,0,0,5,71,2,36,0,2,0
2023,42,5-24 yr,0,0,8,95,7,40,0,6,0
2023,43,5-24 yr,0,0,10,77,22,43,0,7,0
2023,44,5-24 yr,0,0,14,94,22,53,0,8,0
2023,45,5-24 yr,0,0,23,151,44,67,0,11,0
2023,46,5-24 yr,0,0,44,131,51,70,0,20,0
2023,47,5-24 yr,0,0,40,159,45,65,0,11,0
2023,48,5-24 yr,0,0,53,162,35,107,0,8,0
2023,49,5-24 yr,0,0,97,286,75,143,0,26,0
2023,50,5-24 yr,0,0,103,285,153,150,0,43,0
2023,51,5-24 yr,0,0,82,298,91,138,0,19,0
2023,52,5-24 yr,0,0,66,202,55,104,0,6,0
2024,1,5-24 yr,0,0,50,165,41,117,0,12,0
2024,2,5-24 yr,0,0,63,191,48,108,0,26,0
2024,3,5-24 yr,0,0,68,173,36,99,0,15,0
2024,4,5-24 yr,0,0,109,185,39,136,0,19,0
2024,5,5-24 yr,0,0,120,156,23,196,0,22,0
2024,6,5-24 yr,0,0,119,155,37,237,0,28,0
2024,7,5-24 yr,0,0,129,118,38,224,0,27,0
2024,8,5-24 yr,0,0,123,100,50,242,0,32,0
2024,9,5-24 yr,0,0,97,94,26,224,0,25,0
2024,10,5-24 yr,0,0,102,75,29,225,0,19,0
2024,11,5-24 yr,0,0,90,57,15,189,0,10,0
2024,12,5-24 yr,0,0,73,54,15,139,0,8,0
2024,13,5-24 yr,0,0,48,33,11,117,0,11,0
2024,14,5-24 yr,0,0,55,38,5,100,0,10,0
2024,15,5-24 yr,0,0,52,36,4,101,0,9,0
2024,16,5-24 yr,0,0,42,31,7,68,0,6,0
2024,17,5-24 yr,0,0,29,21,2,64,0,6,0
2024,18,5-24 yr,0,0,38,24,7,43,0,6,0
2024,19,5-24 yr,0,0,15,14,6,44,0,7,0
2024,20,5-24 yr,0,0,22,6,4,22,0,1,0
2024,21,5-24 yr,0,0,36,7,3,19,0,1,0
2024,22,5-24 yr,0,0,27,10,2,20,0,2,0
2024,23,5-24 yr,0,0,30,14,1,14,0,0,0
2024,24,5-24 yr,0,0,35,12,2,5,0,0,0
2024,25,5-24 yr,0,0,12,5,1,9,0,2,0
2024,26,5-24 yr,0,0,21,13,2,6,0,0,0
2024,27,5-24 yr,0,0,28,13,1,2,0,1,0
