Date,Temp,WeekOfYear,SinWeek,CosWeek
2021-10-11,10.9,41,-0.9709418174260521,0.23931566428755738
2021-10-12,11.9,41,-0.9709418174260521,0.23931566428755738
2021-10-13,11.9,41,-0.9709418174260521,0.23931566428755738
2021-10-14,12.3,41,-0.9709418174260521,0.23931566428755738
2021-10-15,10.8,41,-0.9709418174260521,0.23931566428755738
2021-10-16,9.9,41,-0.9709418174260521,0.23931566428755738
2021-10-17,12.5,41,-0.9709418174260521,0.23931566428755738
2021-10-18,13.2,42,-0.9350162426854148,0.35460488704253557
2021-10-19,15.5,42,-0.9350162426854148,0.35460488704253557
2021-10-20,13.3,42,-0.9350162426854148,0.35460488704253557
2021-10-21,8.1,42,-0.9350162426854148,0.35460488704253557
2021-10-22,8.8,42,-0.9350162426854148,0.35460488704253557
2021-10-23,10.4,42,-0.9350162426854148,0.35460488704253557
2021-10-24,12.0,42,-0.9350162426854148,0.35460488704253557
2021-10-25,12.4,43,-0.8854560256532101,0.464723172043768
2021-10-26,11.7,43,-0.8854560256532101,0.464723172043768
2021-10-27,13.4,43,-0.8854560256532101,0.464723172043768
2021-10-28,14.0,43,-0.8854560256532101,0.464723172043768
2021-10-29,13.3,43,-0.8854560256532101,0.464723172043768
2021-10-30,10.8,43,-0.8854560256532101,0.464723172043768
2021-10-31,9.7,43,-0.8854560256532101,0.464723172043768
2021-11-01,9.8,44,-0.822983865893657,0.5680647467311548
2021-11-02,7.1,44,-0.822983865893657,0.5680647467311548
2021-11-03,5.6,44,-0.822983865893657,0.5680647467311548
2021-11-04,6.5,44,-0.822983865893657,0.5680647467311548
2021-11-05,4.9,44,-0.822983865893657,0.5680647467311548
2021-11-06,7.8,44,-0.822983865893657,0.5680647467311548
2021-11-07,9.7,44,-0.822983865893657,0.5680647467311548
2021-11-08,8.4,45,-0.7485107481711011,0.6631226582407953
2021-11-09,10.8,45,-0.7485107481711011,0.6631226582407953
2021-11-10,10.8,45,-0.7485107481711011,0.6631226582407953
2021-11-11,11.3,45,-0.7485107481711011,0.6631226582407953
2021-11-12,10.8,45,-0.7485107481711011,0.6631226582407953
2021-11-13,11.0,45,-0.7485107481711011,0.6631226582407953
2021-11-14,9.1,45,-0.7485107481711011,0.6631226582407953
2021-11-15,8.9,46,-0.6631226582407956,0.7485107481711007
2021-11-16,8.2,46,-0.6631226582407956,0.7485107481711007
2021-11-17,8.4,46,-0.6631226582407956,0.7485107481711007
2021-11-18,9.8,46,-0.6631226582407956,0.7485107481711007
2021-11-19,10.9,46,-0.6631226582407956,0.7485107481711007
2021-11-20,9.9,46,-0.6631226582407956,0.7485107481711007
